stokes_shift,asym_norm2,correct_grad,wrong_grad,fd_grad,abs_error
0.0,1.850151321544373e-17,-0.8691175036709159,-0.8691175036709158,-0.8691175037256471,1.1102230246251565e-16
17.857142857142858,0.20271247920438312,-0.818137500320399,-0.8325852572839676,-0.8181375005733571,0.014447756963568592
35.714285714285715,0.3156277878587495,-0.7322812953084877,-0.7571020784801422,-0.7322812956545022,0.02482078317165448
53.57142857142857,0.348627497875995,-0.6843217001970632,-0.7072677935475087,-0.68432169996413,0.022946093350445507
71.42857142857143,0.3532528698812028,-0.6633702229424939,-0.6781085667190492,-0.6633702230374183,0.014738343776555252
89.28571428571429,0.3535450783386005,-0.6527725576665181,-0.6563120919293655,-0.6527725577143428,0.003539534262847366
107.14285714285714,0.35355328695484073,-0.6445905391720725,-0.6356631930225016,-0.6445905393093199,0.008927346149570914
125.0,0.35355339001102193,-0.6366054432077004,-0.614907327950788,-0.6366054429918222,0.021698115256912454
142.85714285714286,0.35355339059179985,-0.6286083769272145,-0.5943421136269855,-0.628608377155615,0.03426626330022897
160.71428571428572,0.3535533905932721,-0.6207530631064417,-0.5744086966418672,-0.6207530628898894,0.046344366464574516
178.57142857142858,0.3535533905932738,-0.6131828745544137,-0.5554260779463762,-0.6131828746447354,0.05775679660803745
196.42857142857142,0.35355339059327606,-0.6059941404946229,-0.5375935413119236,-0.605994140414623,0.06840059918269925
214.28571428571428,0.35355339059498214,-0.599244963431869,-0.5210203447592254,-0.5992449632685748,0.07822461867264352
232.14285714285714,0.35355339116769874,-0.5929652966884837,-0.5057507311161393,-0.5929652974145938,0.08721456557234442
250.0,0.3535534793459937,-0.5871648554681774,-0.4917830668302292,-0.5871648551192266,0.09538178863794822
