contrast,dR_dd_norm,condition_number
0.3,0.009257784265872288,10.68064604205737
0.09513173100976217,0.0027612855053733994,19.2061339457334
0.03016682081637916,0.0008577064116552029,26.075988444632017
0.009566072944411587,0.00027018255895232306,29.378707339447683
0.00303345692722509,8.549543773860508e-05,30.60151998017205
0.0009619266947682566,2.709289897067989e-05,31.010055387883295
0.0003050325052593447,8.58948484514251e-06,31.14181111273775
9.672756746521949e-05,2.7235912185050914e-06,31.18381749176218
3.067286976443295e-05,8.636479896794088e-07,31.19716079934337
9.726543985758342e-06,2.7386590043151914e-07,31.20139434027954
3.084343220359276e-06,8.684427017057496e-08,31.202737052050217
9.780630319366732e-07,2.7538800352846296e-08,31.203162856985205
3.1014943088264047e-07,8.732710598089578e-09,31.203297882130897
9.835017410519383e-08,2.7691927262481408e-09,31.203340695216166
3.118740769246196e-08,8.781269757484714e-10,31.20335428071448
9.88970693163692e-09,2.784591254118224e-10,31.203358586359123
3.136083131952884e-09,8.830099705040568e-11,31.20335971458611
9.944700564439795e-10,2.8000755356135032e-11,31.203359636905763
3.1535219302297264e-10,8.879200962934838e-12,31.203360521956647
1e-10,2.815646129042017e-12,31.2033605654933
0.0,0.0,inf
