k,autograd,analytic,fd
-0.02,-1.002651309849323,-1.0026513098524001,-1.0026513098466694
-0.0165,-0.8271873306256916,-0.8271873306282301,-0.827187330628476
-0.013,-0.6517233514020598,-0.65172335140406,-0.651723351381861
-0.0095,-0.47625937217842856,-0.47625937217989,-0.47625937216366765
-0.005999999999999998,-0.30079539295479685,-0.30079539295571994,-0.30079539295257973
-0.0024999999999999988,-0.12533141373116524,-0.12533141373154993,-0.12533141372728096
0.0010000000000000009,0.050132565492466315,0.050132565492620046,0.050132565490912384
0.0045000000000000005,0.22559654471609786,0.22559654471679005,0.22559654470910573
0.008000000000000004,0.4010605239397296,0.4010605239409602,0.4010605239557208
0.011500000000000007,0.5765245031633612,0.5765245031651304,0.5765245031454924
0.0,3.5714802019629725e-17,0.0,0.0
0.0185,0.9274524616106239,0.9274524616134701,0.9274524616103008
0.022000000000000002,1.102916440834255,1.1029164408376402,1.1029164408000725
0.025500000000000005,1.278380420057887,1.2783804200618103,1.278380419989844
0.029,1.4538443992815182,1.4538443992859802,1.4538443992933026
0.0325,1.629308378505151,1.62930837851015,1.6293083784830742
0.036000000000000004,1.804772357728782,1.8047723577343204,1.8047723576728458
0.03950000000000001,1.980236336952414,1.9802363369584906,1.9802363369763043
0.04300000000000001,2.155700316176045,2.1557003161826604,2.155700316052389
0.0465,2.331164295399675,2.3311642954068303,2.3311642953558476
0.05,2.5066282746233073,2.5066282746310002,2.506628274545619
